TermIRI,Term_label,ParentTermIRI,Parent_label,Alternative term,Definition
http://purl.obolibrary.org/obo/VTO_0025501,Synallaxis tithys,http://purl.obolibrary.org/obo/VTO_0025482,Synallaxis,,
http://purl.obolibrary.org/obo/VTO_0025484,Synallaxis unirufa,http://purl.obolibrary.org/obo/VTO_0025482,Synallaxis,,
http://purl.obolibrary.org/obo/VTO_0025483,Synallaxis zimmeri,http://purl.obolibrary.org/obo/VTO_0025482,Synallaxis,,
http://purl.obolibrary.org/obo/VTO_0024253,Henicorhina,http://purl.obolibrary.org/obo/VTO_0024213,Troglodytinae,,
http://purl.obolibrary.org/obo/VTO_0025532,Philydor dimidiatum,http://purl.obolibrary.org/obo/VTO_0025527,Philydor,,
http://purl.obolibrary.org/obo/VTO_0025322,Syndactyla guttulata,http://purl.obolibrary.org/obo/VTO_0025318,Syndactyla,,
http://purl.obolibrary.org/obo/VTO_0025354,Automolus roraimae,http://purl.obolibrary.org/obo/VTO_0025352,Automolus,,
http://purl.obolibrary.org/obo/VTO_0025321,Syndactyla ruficollis,http://purl.obolibrary.org/obo/VTO_0025318,Syndactyla,,
http://purl.obolibrary.org/obo/VTO_0025319,Syndactyla subalaris,http://purl.obolibrary.org/obo/VTO_0025318,Syndactyla,,
http://purl.obolibrary.org/obo/VTO_0025540,Thripadectes holostictus,http://purl.obolibrary.org/obo/VTO_0025539,Thripadectes,,
http://purl.obolibrary.org/obo/VTO_0025546,Thripadectes melanorhynchus,http://purl.obolibrary.org/obo/VTO_0025539,Thripadectes,,
http://purl.obolibrary.org/obo/VTO_0025545,Thripadectes scrutator,http://purl.obolibrary.org/obo/VTO_0025539,Thripadectes,,
http://purl.obolibrary.org/obo/VTO_0025544,Thripadectes virgaticeps,http://purl.obolibrary.org/obo/VTO_0025539,Thripadectes,,
http://purl.obolibrary.org/obo/VTO_0025444,Thripophaga berlepschi,http://purl.obolibrary.org/obo/VTO_0025440,Thripophaga,,
http://purl.obolibrary.org/obo/VTO_0024255,Henicorhina leucosticta,http://purl.obolibrary.org/obo/VTO_0024253,Henicorhina,,
http://purl.obolibrary.org/obo/VTO_0025442,Thripophaga cherriei,http://purl.obolibrary.org/obo/VTO_0025440,Thripophaga,,
http://purl.obolibrary.org/obo/VTO_0025280,Xenerpestes minlosi,http://purl.obolibrary.org/obo/VTO_0025278,Xenerpestes,,
http://purl.obolibrary.org/obo/VTO_0025377,Xenops tenuirostris,http://purl.obolibrary.org/obo/VTO_0025375,Xenops,,
http://purl.obolibrary.org/obo/VTO_0030364,Xiphocolaptes falcirostris,http://purl.obolibrary.org/obo/VTO_0030363,Xiphocolaptes,,
http://purl.obolibrary.org/obo/VTO_0030396,Xiphorhynchus chunchotambo,http://purl.obolibrary.org/obo/VTO_0030387,Xiphorhynchus,,
http://purl.obolibrary.org/obo/VTO_0025353,Automolus lammi,http://purl.obolibrary.org/obo/VTO_0025352,Automolus,,
http://purl.obolibrary.org/obo/VTO_0024285,Thryorchilus,http://purl.obolibrary.org/obo/VTO_0024213,Troglodytinae,,
http://purl.obolibrary.org/obo/VTO_0024286,Thryorchilus browni,http://purl.obolibrary.org/obo/VTO_0024285,Thryorchilus,,
http://purl.obolibrary.org/obo/VTO_0021594,Liolaemus orientalis,http://purl.obolibrary.org/obo/VTO_0021570,Liolaemus,,
http://purl.obolibrary.org/obo/VTO_0021592,Liolaemus somuncurae,http://purl.obolibrary.org/obo/VTO_0021570,Liolaemus,,
http://purl.obolibrary.org/obo/VTO_0008703,Talpa caeca,http://purl.obolibrary.org/obo/VTO_0008699,Talpa,,
http://purl.obolibrary.org/obo/VTO_0008384,Crocidura leucodon,http://purl.obolibrary.org/obo/VTO_0008321,Crocidura,,
http://purl.obolibrary.org/obo/VTO_0008296,Suncus etruscus,http://purl.obolibrary.org/obo/VTO_0008282,Suncus,,
http://purl.obolibrary.org/obo/VTO_0009525,Rhinolophus euryale,http://purl.obolibrary.org/obo/VTO_0009476,Rhinolophus,,
http://purl.obolibrary.org/obo/VTO_0009846,Myotis capaccinii,http://purl.obolibrary.org/obo/VTO_0009800,Myotis,,
