TermIRI,Term_label,ParentTermIRI,Parent_label,Alternative term,Definition
http://purl.obolibrary.org/obo/VTO_0044286,Coradion,http://purl.obolibrary.org/obo/VTO_0044267,Chaetodontidae,,
http://purl.obolibrary.org/obo/VTO_0044289,Coradion altivelis,http://purl.obolibrary.org/obo/VTO_0044286,Coradion,,
http://purl.obolibrary.org/obo/VTO_0044271,Forcipiger,http://purl.obolibrary.org/obo/VTO_0044267,Chaetodontidae,,
http://purl.obolibrary.org/obo/VTO_0044273,Forcipiger flavissimus,http://purl.obolibrary.org/obo/VTO_0044271,Forcipiger,,
http://purl.obolibrary.org/obo/VTO_0046023,Genicanthus,http://purl.obolibrary.org/obo/VTO_0046020,Pomacanthidae,,
http://purl.obolibrary.org/obo/VTO_0046027,Genicanthus lamarck,http://purl.obolibrary.org/obo/VTO_0046023,Genicanthus,,
http://purl.obolibrary.org/obo/VTO_0044303,Hemitaurichthys,http://purl.obolibrary.org/obo/VTO_0044267,Chaetodontidae,,
http://purl.obolibrary.org/obo/VTO_0044306,Hemitaurichthys polylepis,http://purl.obolibrary.org/obo/VTO_0044303,Hemitaurichthys,,
http://purl.obolibrary.org/obo/VTO_0044290,Heniochus,http://purl.obolibrary.org/obo/VTO_0044267,Chaetodontidae,,
http://purl.obolibrary.org/obo/VTO_0044297,Heniochus acuminatus,http://purl.obolibrary.org/obo/VTO_0044290,Heniochus,,
http://purl.obolibrary.org/obo/VTO_0044301,Parachaetodon,http://purl.obolibrary.org/obo/VTO_0044267,Chaetodontidae,,
http://purl.obolibrary.org/obo/VTO_0044302,Parachaetodon ocellatus,http://purl.obolibrary.org/obo/VTO_0044301,Parachaetodon,,
http://purl.obolibrary.org/obo/VTO_0044288,Coradion chrysozonus,http://purl.obolibrary.org/obo/VTO_0044286,Coradion,,
http://purl.obolibrary.org/obo/VTO_0046024,Genicanthus melanospilos,http://purl.obolibrary.org/obo/VTO_0046023,Genicanthus,,
